Pig Manure (kg),Kitchen Food Waste (kg),Chicken Litter (kg),Cassava (kg),Bagasse Feed (kg),Energy Grass (kg),Banana Shafts (kg),Alcohol Waste (kg),Municipal Residue (kg),Fish Waste (kg),Water (L),Temperature (C),Humidity (%),C/N Ratio,Digester Temp (C),biogas_production
14.78553723,7.305310118,13.05019156,17.68492626,14.83019691,9.906062691,7.742999703,4.523839716,3.48636544,4.191194518,82.61954682,33.13503721,75.99763665,26.6666533,36.84190552,58.95642
15.25435697,16.03905153,12.68648863,10.4364174,17.29292115,16.46670654,5.785339267,3.115392489,16.21528544,5.903021245,107.3217346,29.26812826,76.98749367,23.10093395,32.53592114,71.951004
35.56614195,19.99228703,8.336991862,33.46339149,15.88918362,5.330411816,9.085270484,6.229530996,24.62533762,4.300493721,138.3870902,31.73652299,81.42501799,21.27371181,37.35739343,102.96509
34.49636281,17.75148443,8.23244622,14.09667117,14.08824513,8.093445509,11.88288467,4.055896172,13.98252843,7.469572675,99.47936262,29.67759265,85.8005279,31.25001141,33.8201315,83.783745
21.18725533,13.53347636,14.48967157,14.75619046,12.16561136,12.06443147,4.597625208,10.07127888,11.53909846,2.617078639,86.32826221,29.73120792,73.23658715,20.17743488,36.57196258,70.48941
29.30477371,25.52991649,12.31335739,8.477268854,18.89732471,3.495010835,9.156363326,8.025157419,16.19445001,6.468985065,73.36596098,32.97487501,62.84004796,26.35254995,36.38863999,87.616974
18.83746369,13.24039291,4.36190856,28.22508369,13.49186749,10.46023765,7.676390829,3.271314125,13.42795834,6.688993454,105.0496265,27.32612388,70.54080029,22.82062615,38.6506429,69.600945
38.88749495,25.43754115,13.15328481,11.72045346,22.09594494,10.57865319,6.773121447,2.548972482,3.690979742,4.237031391,115.4803369,27.94205928,55.55245186,18.34335275,37.5760778,89.053314
31.82896876,25.75506707,12.45258969,17.50168738,19.40230111,11.55885399,5.582730634,4.745587106,6.867846796,7.044011265,160.0975496,28.70316093,81.18390422,22.9740595,34.81879111,89.8487
17.04038641,14.43388009,11.84193291,15.56376238,10.39924742,17.33982639,7.299787226,1.442621816,17.31400756,5.814801355,80.48211284,29.78801142,74.08660286,25.59746285,36.61153792,69.73405
24.09471583,19.09902959,10.70769359,11.96008158,15.06659405,7.854960325,3.07075041,3.752699464,13.64168191,5.045971353,148.7263855,34.14602058,73.88956247,23.29664768,33.64265708,78.119026
31.31932158,26.45018756,5.40046959,15.67157208,24.00284099,9.18351407,9.225525607,5.674416112,8.367044937,6.046996696,95.35803072,31.75650537,91.21835614,27.5269126,35.07902239,86.32239
23.21959007,28.96480687,12.40397419,30.58524346,21.77358336,19.5654717,3.41131727,4.535083001,11.06930381,6.305850408,69.71271654,27.73418762,83.49709692,20.88958528,35.86996263,92.71149
37.64402414,26.17294972,17.14352001,34.07870937,8.046928046,10.0603726,11.03851508,8.975228193,11.12485443,4.945863157,77.24515489,28.04566849,69.05388715,23.3566768,37.48357155,101.42645
20.79300923,10.32007404,18.49899892,21.68871121,11.60727797,14.29016081,12.76571513,4.631218601,5.705244008,7.578796673,139.92531,33.43039196,77.47970595,27.14808866,35.24156308,77.431625
35.08063419,10.61940528,11.61994534,14.08120852,23.38191733,18.77203899,8.294573703,4.315288255,14.23100777,7.827200167,142.2683417,26.12499331,77.99152136,27.91402063,34.72798987,87.40979
37.46589321,16.34331727,16.71635138,8.360260873,16.64683376,21.93071643,8.378841901,3.817608672,15.38185105,6.853701005,69.16045568,23.09699196,71.45700383,23.81692407,36.03443401,86.8192
